Store,Date,Year,Month,Month_Name,Quarter,Week_Of_Year,Weekly_Sales,Holiday_Flag,Is_Holiday_Week,Store_Tier,WoW_Sales_Change_Pct,Temperature,Fuel_Price,CPI,Unemployment
1,2010-02-05,2010,2,February,1,5,1643690.9,0,Non-Holiday,A - Top 25%,,42.31,2.572,211.0963582,8.106
1,2010-02-12,2010,2,February,1,6,1641957.44,1,Holiday,A - Top 25%,-0.10546143438525668,38.51,2.548,211.2421698,8.106
1,2010-02-19,2010,2,February,1,7,1611968.17,0,Non-Holiday,A - Top 25%,-1.8264340639669752,39.93,2.514,211.2891429,8.106
1,2010-02-26,2010,2,February,1,8,1409727.59,0,Non-Holiday,A - Top 25%,-12.54618942010498,46.63,2.561,211.3196429,8.106
1,2010-03-05,2010,3,March,1,9,1554806.68,0,Non-Holiday,A - Top 25%,10.29128542486708,46.5,2.625,211.3501429,8.106
1,2010-03-12,2010,3,March,1,10,1439541.59,0,Non-Holiday,A - Top 25%,-7.413467634445703,57.79,2.667,211.3806429,8.106
1,2010-03-19,2010,3,March,1,11,1472515.79,0,Non-Holiday,A - Top 25%,2.29060419157463,54.58,2.72,211.215635,8.106
1,2010-03-26,2010,3,March,1,12,1404429.92,0,Non-Holiday,A - Top 25%,-4.623778601382611,51.45,2.732,211.0180424,8.106
1,2010-04-02,2010,4,April,2,13,1594968.28,0,Non-Holiday,A - Top 25%,13.566953913941116,62.27,2.719,210.8204499,7.808
1,2010-04-09,2010,4,April,2,14,1545418.53,0,Non-Holiday,A - Top 25%,-3.106629180111342,65.86,2.77,210.6228574,7.808
1,2010-04-16,2010,4,April,2,15,1466058.28,0,Non-Holiday,A - Top 25%,-5.135194671180754,66.32,2.808,210.4887,7.808
1,2010-04-23,2010,4,April,2,16,1391256.12,0,Non-Holiday,A - Top 25%,-5.102263738110047,64.84,2.795,210.4391228,7.808
1,2010-04-30,2010,4,April,2,17,1425100.71,0,Non-Holiday,A - Top 25%,2.432664231514736,67.41,2.78,210.3895456,7.808
1,2010-05-07,2010,5,May,2,18,1603955.12,0,Non-Holiday,A - Top 25%,12.55029969074959,72.55,2.835,210.3399684,7.808
1,2010-05-14,2010,5,May,2,19,1494251.5,0,Non-Holiday,A - Top 25%,-6.839569176972993,74.78,2.854,210.3374261,7.808
1,2010-05-21,2010,5,May,2,20,1399662.07,0,Non-Holiday,A - Top 25%,-6.330221518934387,76.44,2.826,210.6170934,7.808
1,2010-05-28,2010,5,May,2,21,1432069.95,0,Non-Holiday,A - Top 25%,2.315407461173824,80.44,2.759,210.8967606,7.808
1,2010-06-04,2010,6,June,2,22,1615524.71,0,Non-Holiday,A - Top 25%,12.810460829793957,80.69,2.705,211.1764278,7.808
1,2010-06-11,2010,6,June,2,23,1542561.09,0,Non-Holiday,A - Top 25%,-4.51640383761136,80.43,2.668,211.4560951,7.808
1,2010-06-18,2010,6,June,2,24,1503284.06,0,Non-Holiday,A - Top 25%,-2.5462220105655575,84.11,2.637,211.4537719,7.808
1,2010-06-25,2010,6,June,2,25,1422711.6,0,Non-Holiday,A - Top 25%,-5.359762811560708,84.34,2.653,211.3386526,7.808
1,2010-07-02,2010,7,July,3,26,1492418.14,0,Non-Holiday,A - Top 25%,4.899555187432214,80.91,2.669,211.2235333,7.787
1,2010-07-09,2010,7,July,3,27,1546074.18,0,Non-Holiday,A - Top 25%,3.595241746391542,80.48,2.642,211.108414,7.787
1,2010-07-16,2010,7,July,3,28,1448938.92,0,Non-Holiday,A - Top 25%,-6.2827037186533925,83.15,2.623,211.1003854,7.787
1,2010-07-23,2010,7,July,3,29,1385065.2,0,Non-Holiday,A - Top 25%,-4.408310048017761,83.36,2.608,211.2351443,7.787
1,2010-07-30,2010,7,July,3,30,1371986.6,0,Non-Holiday,A - Top 25%,-0.9442587973475858,81.84,2.64,211.3699032,7.787
1,2010-08-06,2010,8,August,3,31,1605491.78,0,Non-Holiday,A - Top 25%,17.019494213719,87.16,2.627,211.5046621,7.787
1,2010-08-13,2010,8,August,3,32,1508237.76,0,Non-Holiday,A - Top 25%,-6.057584424381169,87.0,2.692,211.6394211,7.787
1,2010-08-20,2010,8,August,3,33,1513080.49,0,Non-Holiday,A - Top 25%,0.3210853174767436,86.65,2.664,211.6033633,7.787
1,2010-08-27,2010,8,August,3,34,1449142.92,0,Non-Holiday,A - Top 25%,-4.225655569717912,85.22,2.619,211.5673056,7.787
1,2010-09-03,2010,9,September,3,35,1540163.53,0,Non-Holiday,A - Top 25%,6.28099608008299,81.21,2.577,211.5312479,7.787
1,2010-09-10,2010,9,September,3,36,1507460.69,1,Holiday,A - Top 25%,-2.123335565542195,78.69,2.565,211.4951902,7.787
1,2010-09-17,2010,9,September,3,37,1430378.67,0,Non-Holiday,A - Top 25%,-5.113368495201032,82.11,2.582,211.5224596,7.787
1,2010-09-24,2010,9,September,3,38,1351791.03,0,Non-Holiday,A - Top 25%,-5.494184277789871,80.94,2.624,211.5972246,7.787
1,2010-10-01,2010,10,October,4,39,1453329.5,0,Non-Holiday,A - Top 25%,7.511402853442517,71.89,2.603,211.6719895,7.838
1,2010-10-08,2010,10,October,4,40,1508239.93,0,Non-Holiday,A - Top 25%,3.778250561899421,63.93,2.633,211.7467544,7.838
1,2010-10-15,2010,10,October,4,41,1459409.1,0,Non-Holiday,A - Top 25%,-3.2376035820772753,67.18,2.72,211.8137436,7.838
1,2010-10-22,2010,10,October,4,42,1345454.0,0,Non-Holiday,A - Top 25%,-7.808304059499161,69.86,2.725,211.8612937,7.838
1,2010-10-29,2010,10,October,4,43,1384209.22,0,Non-Holiday,A - Top 25%,2.8804567082932664,69.64,2.716,211.9088438,7.838
1,2010-11-05,2010,11,November,4,44,1551659.28,0,Non-Holiday,A - Top 25%,12.097164039985241,58.74,2.689,211.9563939,7.838
1,2010-11-12,2010,11,November,4,45,1494479.49,0,Non-Holiday,A - Top 25%,-3.6850738262590776,59.61,2.728,212.003944,7.838
